user_id,friends_cnt,followers_cnt,subscriptions_cnt,wall_posts_cnt,is_deleted,is_banned,is_bot
242208739,3526,10,125,599,0,0,1
320024316,,,,,1,0,0
291694504,,,,,1,0,0
11363737,388,108,7,5773,0,0,0
165963698,2260,75,232,2139,0,0,0
316561278,,,,,1,0,1
268100413,35,,0,,0,0,0
378285593,151,14,1,245,0,0,0
370671494,,,,,0,1,0
352407182,,,,,1,0,0
211743423,32,79,0,82,0,0,0
181431464,18,632,0,1,0,0,0
204334822,,,,,1,0,0
266105346,156,,1,,0,0,0
111346312,273,319,4,699,0,0,0
159563691,343,,11,,0,0,0
151821313,100,,0,,0,0,1
395583729,75,60,0,3,0,0,0
263693084,202,67,4,102,0,0,0
281393090,15,5,1,1,0,0,0
290315410,,,,,0,1,0
199772609,,,,,0,1,0
426906888,2,,3,,0,0,0
167390064,,,,,1,0,0
254981400,45,327,0,4,0,0,0
244495232,93,78,129,1803,0,0,1
68848321,2242,349,299,526,0,0,0
357082398,38,3,0,32,0,0,0
178024352,,,,,1,0,0
11024499,207,,0,,0,0,0
378694060,,,,,1,0,0
217140228,2447,418,0,17,0,0,1
284956098,,,,,0,1,1
97030878,273,7,3,17,0,0,0
142276331,1349,417,21,219,0,0,0
26079132,211,427,0,498,0,0,0
234902042,,,,,1,0,0
412678136,,,,,1,0,0
148124486,335,,1,,0,0,0
3600722,,,,,1,0,0
33221715,157,145,4,373,0,0,0
87075179,88,,2,,0,0,0
346506798,,,,,1,0,0
321048197,140,268,0,1198,0,0,0
426105572,2,62,0,4,0,0,0
403728545,56,8,5,1,0,0,0
428902176,,,,,0,1,0
252635706,163,248,3,17,0,0,0
207515355,1,,0,,0,0,1
194302514,91,340,0,3,0,0,0
857356,1165,,0,,0,0,0
49622831,162,,2,,0,0,0
196066239,66,,0,,0,0,0
202883852,168,,0,,0,0,0
402372784,,,,,1,0,0
150996274,137,321,0,0,0,0,0
3524966,465,603,2,1110,0,0,0
346263671,,,,,0,1,0
135809553,163,,1,,0,0,0
70169136,371,327,6,77,0,0,0
407824722,,,,,1,0,1
294608374,,,,,0,1,1
275171595,257,,1,,0,0,0
164012056,102,,4,,0,0,0
84751120,149,,1,,0,0,0
9463404,269,,1,,0,0,0
381906130,95,,1,,0,0,0
133534825,405,,8,,0,0,0
292189179,3654,228,52,269,0,0,1
405141659,1845,,1748,,0,0,1
373251276,21,15,0,22,0,0,0
132735259,3223,717,0,444,0,0,0
28838263,241,,0,,0,0,0
275277015,156,,0,,0,0,0
188409259,290,388,0,32,0,0,0
100848174,355,171,0,156,0,0,0
330464725,22,,70,,0,0,0
415142541,,,,,1,0,0
89397382,354,96,15,559,0,0,0
285841321,1190,1296,14,253,0,0,0
78641683,157,523,0,80,0,0,0
137342794,64,94,0,0,0,0,0
320227120,,,,,1,0,0
161822204,239,155,3,112,0,0,0
107767401,684,347,0,543,0,0,0
249254344,,,,,1,0,0
424198252,,,,,0,1,1
48696990,785,,1,,0,0,0
4533152,177,,6,,0,0,0
254221623,118,285,0,11,0,0,0
333107451,170,98,0,5,0,0,1
27175980,310,,0,,0,0,0
101854813,263,112,3,702,0,0,0
385929765,1785,39,0,1153,0,0,1
118996140,124,97,2,1975,0,0,0
244576843,42,124,0,487,0,0,0
862351,269,123,4,1,0,0,0
68341994,166,20,12,721,0,0,0
423700854,,,,,0,1,0
347014762,8,686,64,2,0,0,1
411057274,51,214,0,5,0,0,0
90168684,122,222,4,847,0,0,0
30002799,1630,607,82,158,0,0,1
110793565,179,587,13,2098,0,0,0
427466266,62,138,1,0,0,0,0
244619294,75,,0,,0,0,0
183755878,128,,7,,0,0,0
134124816,198,173,0,68,0,0,0
364998340,297,,0,,0,0,0
162240349,66,17,9,47,0,0,0
329238733,,,,,0,1,1
415466759,34,37,0,0,0,0,1
349264399,1836,54,213,1680,0,0,1
248016144,,,,,1,0,0
52501169,290,414,15,368,0,0,0
289250361,,,,,0,1,1
289772508,165,,368,,0,0,0
201850026,44,,0,,0,0,0
139429335,279,140,8,1940,0,0,0
243582233,137,,0,,0,0,1
393962208,49,44,4,3,0,0,0
298634763,1,109,4,2,0,0,0
280136095,33,56,0,5,0,0,0
32144804,507,153,0,378,0,0,0
25739748,210,23,57,676,0,0,0
224640006,156,146,1,17,0,0,0
142645884,536,,7,,0,0,0
91646632,1001,37,60,18,0,0,0
8554677,145,,65,,0,0,0
87796165,173,,3,,0,0,0
138968405,,,,,1,0,1
78104945,544,323,2,153,0,0,0
41816745,29,17,1,57,0,0,0
13236838,175,,0,,0,0,0
378921052,,,,,0,1,1
267804570,111,95,0,2,0,0,0
153783534,194,253,0,48,0,0,0
369005785,20,82,0,0,0,0,0
66795626,35,494,0,11,0,0,0
216801265,135,61,5,167,0,0,0
344722260,54,64,3,3,0,0,0
154426865,96,108,0,1,0,0,0
159602554,319,147,16,149,0,0,0
138065076,110,,6,,0,0,0
301455717,197,,5,,0,0,0
44101249,134,,0,,0,0,0
47389906,814,121,2,387,0,0,0
47678203,410,,0,,0,0,0
173946639,183,198,16,1136,0,0,0
127282632,145,142,0,1,0,0,0
95182662,98,,260,,0,0,1
247294622,,,,,0,1,0
37746661,886,789,33,1050,0,0,0
359153320,50,39,7,364,0,0,0
37875832,178,81,1,16,0,0,0
64216301,,,,,1,0,0
314419485,,,,,0,1,1
140212198,579,508,9,1166,0,0,0
209311783,1188,435,22,130,0,0,0
19684652,270,92,2,59,0,0,0
366770818,142,120,11,711,0,0,0
195002776,704,531,31,6,0,0,0
75491171,,,,,0,1,0
294909019,198,153,0,151,0,0,0
333169732,120,,3,,0,0,0
8714835,118,84,9,426,0,0,0
317834676,308,2,31,2564,0,0,1
75467306,46,18,5,90,0,0,0
431602038,15,14,0,2,0,0,0
140067276,101,216,8,1208,0,0,1
303329701,56,57,4,11,0,0,0
6383737,466,232,8,424,0,0,0
426008317,,,,,0,1,1
225878838,1319,1951,78,5,0,0,0
